0	1	2	3
1607586916427	-2.9496564865112305	-8.829815864562988	-2.3750481605529785
1607586916446	-2.719813108444214	-8.791508674621582	-2.451662540435791
1607586916466	-2.3750481605529785	-8.9064302444458	-2.719813108444214
1607586916486	-2.451662540435791	-8.40843677520752	-2.7964274883270264
1607586916506	-2.5665841102600098	-8.40843677520752	-2.9113492965698238
1607586916526	-2.681505918502808	-9.097966194152832	-2.9113492965698238
1607586916546	-2.4899697303771973	-9.366117477416992	-2.873042106628418
1607586916566	-2.5282769203186035	-8.753201484680176	-2.9113492965698238
1607586916586	-2.5665841102600098	-8.446743965148926	-2.9496564865112305
1607586916606	-2.451662540435791	-8.523358345031737	-3.2178070545196533
1607586916626	-2.719813108444214	-8.370129585266112	-3.2178070545196533
1607586916647	-2.834734916687012	-8.331821441650389	-3.179499864578247
1607586916667	-2.9113492965698238	-7.8338279724121085	-2.9496564865112305
1607586916686	-2.6431987285614014	-5.612008571624756	-2.834734916687012
1607586916706	-2.451662540435791	0.6320692300796509	-4.5585598945617685
1607586916726	-1.37906014919281	2.585737943649292	-1.0342950820922852
1607586916746	-1.1492167711257937	0.6703764796257019	-0.07661445438861847
1607586916767	-1.37906014919281	-3.3518824577331543	0.3447650372982025
1607586916786	-0.1915361285209656	-6.991068840026856	-0.1915361285209656
1607586916806	0.4213795065879822	-8.063671112060549	-0.4213795065879822
1607586916826	1.6472107172012331	-8.561665534973145	-0.6129156351089478
1607586916846	0.8810662031173706	-6.033388137817383	-0.1149216815829277
1607586916866	0.689530074596405	-6.45476770401001	-0.3064578175544739
1607586916886	-6.4356141090393075	-35.41503143310547	-0.3064578175544739
1607586916906	-0.689530074596405	-27.06405639648437	-3.6774938106536874
1607586916926	0.4213795065879822	-14.690821647644045	-2.873042106628418
1607586916946	0.26815059781074524	-7.6805992126464835	-1.3024457693099976
1607586916966	-0.4213795065879822	-6.799532890319824	2.873042106628418
1607586916986	-0.7661445140838623	-9.251194953918457	3.179499864578247
1607586917007	-1.2641384601593018	-10.20887565612793	0.15322890877723694
