0	1	2	3
1607706052368	-1.3024457693099976	-6.799532890319824	2.030282974243164
1607706052389	-1.6472107172012331	-6.991068840026856	2.145204782485962
1607706052409	-1.9919757843017576	-6.837840080261231	2.4899697303771973
1607706052429	-2.298433542251587	-6.378153324127197	2.451662540435791
1607706052449	-2.4133553504943848	-6.110002517700195	2.2218191623687744
1607706052469	-2.3750481605529785	-6.071695327758789	2.183511972427368
1607706052489	-2.2601263523101807	-6.837840080261231	2.2601263523101807
1607706052508	-2.4133553504943848	-7.8338279724121085	2.2601263523101807
1607706052529	-2.5665841102600098	-7.9870567321777335	2.4899697303771973
1607706052549	-2.451662540435791	-7.067683219909668	2.604891538619995
1607706052569	-2.4133553504943848	-6.914454460144043	2.9496564865112305
1607706052589	-2.681505918502808	-7.603984832763673	2.6431987285614014
1607706052609	-2.4133553504943848	-7.8721351623535165	2.451662540435791
1607706052629	-2.681505918502808	-8.40843677520752	3.44765043258667
1607706052648	-2.873042106628418	-9.21288776397705	4.022258758544922
1607706052669	-2.7964274883270264	-10.66856288909912	4.481945514678955
1607706052688	-1.1109095811843872	-11.894393920898438	2.873042106628418
1607706052709	0.6129156351089478	-10.975020408630373	1.417367458343506
1607706052729	0.3064578175544739	-8.753201484680176	1.953668594360352
1607706052749	-1.953668594360352	-10.553641319274902	1.8004397153854368
1607706052769	-7.163451671600343	-16.10818862915039	0.5746083855628967
1607706052789	-10.994174003601074	-15.61019515991211	0.7278373241424559
1607706052808	-4.481945514678955	-9.710882186889648	-0.9576807022094728
1607706052834	-1.953668594360352	-7.412448406219482	-2.183511972427368
1607706052848	-3.562572240829468	-8.178592681884767	-2.604891538619995
1607706052868	-2.834734916687012	-10.285490036010742	-1.4939818382263184
1607706052888	-0.8427590131759644	-11.051634788513184	0.4979939460754394
1607706052909	-0.07661445438861847	-10.78348445892334	0.8810662031173706
1607706052929	-0.3447650372982025	-10.591948509216307	0.8810662031173706
1607706052949	-1.6855180263519287	-9.404424667358398	0.7661445140838623
1607706052969	-2.030282974243164	-8.101978302001951	0.9193734526634216
1607706052989	-2.604891538619995	-7.297526836395264	0.689530074596405
1607706053009	-3.869029998779297	-6.952761650085449	0.4596867263317108
1607706053029	-4.8267107009887695	-7.297526836395264	0.8810662031173706
1607706053048	-5.363011837005615	-7.948749542236327	1.6472107172012331
1607706053069	-5.171475887298584	-7.8338279724121085	2.0685901641845703
1607706053089	-4.6734819412231445	-7.33583402633667	3.2944214344024663
1607706053109	-4.367023944854736	-6.991068840026856	3.562572240829468
1607706053129	-3.869029998779297	-6.607996463775635	2.9496564865112305
1607706053149	-3.7541081905364986	-6.5696892738342285	0.9959878921508788
1607706053168	-3.3710360527038574	-6.186617374420166	0.8044517636299133
1607706053189	-2.9879636764526367	-5.726930618286133	0.5746083855628967
1607706053208	-3.63918662071228	-5.803544998168945	0.3830722570419312
1607706053228	-4.750096321105957	-7.220912456512451	0.3064578175544739
1607706053248	-5.13316822052002	-8.063671112060549	0.1915361285209656
1607706053268	-4.9799394607543945	-8.753201484680176	0.5363011956214905
1607706053288	-4.290409564971924	-8.983044624328613	0.4596867263317108
1607706053308	-2.873042106628418	-8.983044624328613	1.2258312702178955
1607706053328	-1.5322890281677246	-8.944737434387207	2.2218191623687744
1607706053349	-2.2601263523101807	-11.319786071777346	3.6774938106536874
1607706053369	-4.6734819412231445	-15.878345489501953	4.0988731384277335
1607706053389	-4.175487995147705	-17.142484664916992	4.213795185089111
1607706053409	-3.485957622528076	-15.725116729736328	3.7541081905364986
1607706053429	-3.983951568603516	-13.541604995727539	3.7158010005950928
1607706053449	-3.945644378662109	-10.975020408630373	3.562572240829468
1607706053468	-2.7964274883270264	-8.71489429473877	3.2178070545196533
1607706053488	-1.4556746482849119	-7.220912456512451	2.5282769203186035
1607706053509	-0.8044517636299133	-6.761225700378418	2.2218191623687744
1607706053528	-0.689530074596405	-7.029376029968263	2.6431987285614014
1607706053549	-1.3024457693099976	-7.33583402633667	2.604891538619995
1607706053569	-1.5322890281677246	-7.259219646453857	2.030282974243164
1607706053589	-1.5705963373184204	-7.105990409851074	1.723825216293335
1607706053609	-1.1875240802764893	-6.416460514068604	1.1492167711257937
1607706053629	-0.6512228846549988	-6.033388137817383	1.2258312702178955
1607706053649	-0.4213795065879822	-6.071695327758789	1.5322890281677246
1607706053669	-0.3447650372982025	-6.301538944244385	1.8770540952682493
1607706053689	-0.3830722570419312	-6.45476770401001	2.451662540435791
1607706053709	-0.9959878921508788	-7.029376029968263	2.834734916687012
1607706053729	-1.723825216293335	-7.374141216278076	2.834734916687012
1607706053749	-2.451662540435791	-7.795520782470702	2.873042106628418
1607706053769	-2.9496564865112305	-8.485051155090332	2.75812029838562
1607706053789	-3.63918662071228	-8.944737434387207	2.681505918502808
1607706053809	-3.5242648124694824	-8.063671112060549	2.604891538619995
1607706053835	-2.9879636764526367	-7.33583402633667	2.7964274883270264
1607706053849	-2.604891538619995	-6.799532890319824	2.75812029838562
