0	1	2	3	4
151	1606112040001	-9.888355255126953	-4.8484063148498535	-1.6209239959716797
152	1606112040020	-11.71279239654541	-4.85080099105835	-2.202732801437378
153	1606112040039	-13.345687866210938	-4.764606952667236	-3.1484713554382324
154	1606112040062	-13.278648376464846	-4.328848838806152	-4.206740856170653
155	1606112040079	-13.561172485351562	-4.075055599212647	-5.516408920288086
156	1606112040099	-13.84369659423828	-3.3639562129974365	-6.019207000732423
157	1606112040120	-16.338531494140625	-4.146883964538573	-5.990475654602051
158	1606112040140	-17.097517013549805	-3.644086360931397	-6.280182838439941
159	1606112040160	-15.42391872406006	-1.7382434606552124	-5.734288215637207
160	1606112040181	-13.38160228729248	-0.5770202279090881	-4.865166187286377
161	1606112040201	-12.69444465637207	-1.4533247947692869	-4.245048999786377
162	1606112040221	-12.689656257629395	-3.064671754837036	-3.5124011039733887
163	1606112040241	-12.189252853393555	-4.1420955657958975	-2.506805658340454
164	1606112040261	-12.076722145080565	-4.6017961502075195	-1.9321798086166384
165	1606112040280	-12.387977600097654	-4.922628879547119	-1.831620216369629
166	1606112040301	-12.098270416259766	-5.21233606338501	-2.3727264404296875
167	1606112040321	-10.92507553100586	-4.941783428192139	-2.523565530776977
168	1606112040340	-9.876383781433104	-4.838829517364502	-2.5618741512298584
169	1606112040361	-9.38316249847412	-4.855589389801025	-2.8348214626312256
170	1606112040381	-9.49090576171875	-5.286558628082275	-3.2442424297332764
171	1606112040400	-9.500482559204102	-5.865973472595215	-3.8715424537658687
172	1606112040420	-9.78061294555664	-6.5243988037109375	-4.254626274108887
173	1606112040441	-9.194015502929688	-6.914665699005128	-4.182797908782959
174	1606112040461	-8.035185813903809	-6.8021345138549805	-3.6105663776397705
175	1606112040481	-7.884346961975098	-6.586649894714356	-3.002420663833618
176	1606112040501	-7.8268842697143555	-6.289760112762451	-2.52117133140564
177	1606112040521	-7.302538394927978	-5.667248249053955	-1.9848538637161253
