0	1	2	3	4
151	1606039557962	0.10382963716983797	0.022252947092056274	0.0910538285970688
152	1606039557982	0.107110857963562	0.02703515067696572	0.0944746732711792
153	1606039558002	0.1103222593665123	0.03401646763086319	0.09684831649065018
154	1606039558022	0.11081095039844513	0.03488913178443909	0.09981537610292436
155	1606039558042	0.11035716533660887	0.0351509302854538	0.1048593819141388
156	1606039558062	0.11309733241796495	0.03460988029837608	0.11307988315820695
157	1606039558082	0.11192796379327774	0.03239331021904945	0.1200961023569107
158	1606039558102	0.11051424592733383	0.028501227498054508	0.12695525586605072
159	1606039558122	0.10869910567998886	0.02302089333534241	0.13252285122871402
160	1606039558142	0.1042485162615776	0.015044738538563253	0.13718287646770475
161	1606039558162	0.09857619553804398	0.007522369269281627	0.1410924196243286
162	1606039558182	0.09515535086393356	0.003124139271676541	0.14734070003032684
163	1606039558202	0.09337511658668518	-0.002705260412767529	0.1543918251991272
164	1606039558222	0.0921533852815628	-0.00609119888395071	0.15746361017227173
165	1606039558242	0.08972737938165665	-0.010018189437687395	0.160133957862854
166	1606039558262	0.0841074138879776	-0.013037609867751598	0.16460199654102325
167	1606039558282	0.0757472887635231	-0.017680184915661812	0.16723744571208954
168	1606039558302	0.06813765317201614	-0.022776545956730843	0.17037904262542725
169	1606039558323	0.06183701381087304	-0.023579398170113564	0.17132152616977692
170	1606039558342	0.0535816065967083	-0.02626720443367958	0.16636478900909424
171	1606039558362	0.04433136433362962	-0.03192207217216492	0.1546361744403839
172	1606039558382	0.037035886198282235	-0.03387684002518654	0.1396961510181427
173	1606039558402	0.03206169977784157	-0.035325463861227036	0.12997466325759888
174	1606039558422	0.0247662216424942	-0.039933133870363235	0.12173671275377275
175	1606039558442	0.014049900695681572	-0.05277875810861588	0.11739084869623186
176	1606039558462	6.981316983001308e-05	-0.07108726352453232	0.11536626517772675
177	1606039558482	-0.01939060725271701	-0.09166469424962996	0.1077217236161232
178	1606039558502	-0.04426154866814613	-0.11199777573347093	0.09550441801548004
179	1606039558522	-0.06916739791631699	-0.12358676642179488	0.08422958850860596
180	1606039558542	-0.09396852552890778	-0.13350023329257965	0.07620107382535933
181	1606039558562	-0.1137605607509613	-0.13730505108833313	0.06667158007621765
182	1606039558582	-0.13201670348644254	-0.1417207419872284	0.05569345504045488
183	1606039558602	-0.15217526257038114	-0.14880676567554474	0.04541346803307533
184	1606039558622	-0.16702800989151	-0.15214034914970398	0.0339815616607666
185	1606039558642	-0.17982126772403714	-0.15453144907951355	0.02234021387994289
186	1606039558662	-0.19172441959381106	-0.15618951618671414	0.011746065691113472
187	1606039558682	-0.20758946239948275	-0.16022121906280518	0.0015533430268988011
188	1606039558702	-0.21635101735591888	-0.15943582355976105	-0.00815068744122982
189	1606039558729	-0.2306801676750183	-0.1613207757472992	-0.023666664958000183
190	1606039558742	-0.2306801676750183	-0.1613207757472992	-0.023666664958000183
191	1606039558762	-0.22919663786888125	-0.15416492521762848	-0.030700340867042538
192	1606039558782	-0.2323033213615417	-0.1491732895374298	-0.03890338912606239
193	1606039558802	-0.2336821258068085	-0.14149384200572968	-0.04611159861087799
194	1606039558822	-0.2371378839015961	-0.13603095710277555	-0.05337216705083847
195	1606039558842	-0.23837706446647644	-0.12840387225151062	-0.0602138601243496
196	1606039558862	-0.2370331585407257	-0.1215796321630478	-0.0671079084277153
197	1606039558882	-0.2422866076231003	-0.11882201582193375	-0.076602503657341
198	1606039558902	-0.2339788377285004	-0.11070623248815536	-0.08370599150657654
199	1606039558923	-0.22629939019680026	-0.0985238328576088	-0.08948303014039992
200	1606039558942	-0.22050489485263824	-0.08908160775899887	-0.09229300916194916
201	1606039558962	-0.21587976813316345	-0.08679522573947906	-0.09185668081045152
202	1606039558982	-0.2059488445520401	-0.0786445364356041	-0.08815658092498779
203	1606039559002	-0.1961750090122223	-0.07253587990999223	-0.08194320648908615
204	1606039559022	-0.03790855035185814	-0.013561207801103592	-0.015289084054529669
205	1606039559042	-0.03958406671881677	-0.013788101263344288	-0.015620696358382704
206	1606039559062	-0.04173082113265991	-0.013526301831007006	-0.016528267413377762
207	1606039559082	-0.04340633749961853	-0.012688543647527695	-0.017819812521338463
208	1606039559102	-0.0440695621073246	-0.010786134749650957	-0.01886700838804245
209	1606039559122	-0.044540803879499435	-0.00921533815562725	-0.019146261736750603
210	1606039559142	-0.043371431529521935	-0.008517206646502018	-0.01797689124941826
211	1606039559162	-0.043388884514570236	-0.008534659631550312	-0.017523106187582016
212	1606039559182	-0.04171336814761162	-0.008080874569714071	-0.01687733456492424
213	1606039559202	-0.04077089205384255	-0.008325220085680485	-0.015742870047688484
214	1606039559222	-0.04000294581055641	-0.00905825849622488	-0.013980086892843243
215	1606039559242	-0.03925245627760887	-0.00930260494351387	-0.012688543647527695
216	1606039559262	-0.03808308392763138	-0.008569566532969475	-0.011903145350515842
217	1606039559283	-0.03595378249883652	-0.007819075137376784	-0.010908307507634165
218	1606039559302	-0.03447025269269943	-0.00710349017754197	-0.010332348756492138
219	1606039559322	-0.031293753534555435	-0.006161012221127749	-0.009407324716448784
220	1606039559342	-0.028553586453199387	-0.005253441166132689	-0.008866272866725922
221	1606039559362	-0.026389379054307938	-0.003944444004446268	-0.008587019518017769
222	1606039559382	-0.02457423508167267	-0.0031939526088535786	-0.00830776710063219
223	1606039559402	-0.02385865151882172	-0.0031764991581439968	-0.008272860199213028
224	1606039559422	-0.02234021387994289	-0.0028797932900488377	-0.008045967668294907
225	1606039559442	-0.021188296377658844	-0.0026179938577115536	-0.00823795422911644
226	1606039559462	-0.01965240761637688	-0.002094394993036985	-0.008569566532969475
227	1606039559482	-0.018168877810239792	-0.0015009831404313445	-0.008970992639660834
228	1606039559502	-0.016807520762085915	-0.00143117003608495	-0.009267698042094707
229	1606039559522	-0.015411256812512875	-0.0013788101496174932	-0.009232792071998121
230	1606039559542	-0.014364060014486313	-0.001797689124941826	-0.009180432185530664
231	1606039559562	-0.01326450239866972	-0.003071779385209084	-0.009023352526128292
232	1606039559582	-0.012060225009918213	-0.004014257341623306	-0.009128072299063206
233	1606039559602	-0.010995574295520779	-0.0049218283966183645	-0.009180432185530664
234	1606039559622	-0.010035643354058266	-0.0060737458989024145	-0.009162978269159794
235	1606039559642	-0.009337511844933031	-0.0062133721075952044	-0.00945968460291624
