	0	1	2	3
0	1607159412368	1.2258312702178955	1.091755986213684	9.15542697906494
1	1607159412388	1.5705963373184204	1.2066776752471924	9.117119789123537
2	1607159412408	1.6855180263519287	1.359906554222107	9.53849983215332
3	1607159412428	1.6472107172012331	1.359906554222107	10.15141487121582
4	1607159412448	1.417367458343506	1.436521053314209	10.649409294128418
5	1607159412468	1.37906014919281	1.6280571222305298	10.036493301391602
6	1607159412488	1.8770540952682493	1.321599364280701	9.959878921508787
7	1607159412508	2.145204782485962	0.7852981686592102	9.959878921508787
8	1607159412528	1.953668594360352	1.015141487121582	9.653421401977539
9	1607159412548	1.723825216293335	1.3982137441635132	9.346963882446287
10	1607159412568	1.915361404418945	0.9768342971801758	10.879252433776855
11	1607159412588	1.6089035272598269	0.05746084079146385	11.338939666748047
12	1607159412608	1.6089035272598269	-0.7469909191131592	10.687716484069824
13	1607159412628	1.417367458343506	-0.2489969730377197	9.883264541625977
14	1607159412648	0.9959878921508788	0.7469909191131592	8.504204750061035
15	1607159412668	1.2258312702178955	1.8962076902389529	7.58483076095581
16	1607159412688	1.2258312702178955	2.738966703414917	7.661445617675781
17	1607159412708	1.417367458343506	3.7732617855072017	8.810662269592285
18	1607159412728	1.37906014919281	3.19865345954895	9.53849983215332
19	1607159412748	0.8427590131759644	2.164358377456665	9.576807022094727
20	1607159412768	0.7278373241424559	1.781286120414734	9.615114212036133
21	1607159412788	1.072602391242981	2.164358377456665	9.768342971801758
22	1607159412808	1.2641384601593018	2.470816135406494	9.308655738830566
23	1607159412828	0.9576807022094728	2.6240451335906982	8.65743350982666
24	1607159412848	0.4213795065879822	2.815581083297729	8.619126319885254
25	1607159412868	0.038307227194309235	2.738966703414917	8.619126319885254
26	1607159412888	-0.3830722570419312	3.00711727142334	8.619126319885254
27	1607159412908	-0.4213795065879822	3.2752678394317627	9.423578262329102
28	1607159412928	-0.8427590131759644	3.1220390796661377	10.41956615447998
29	1607159412948	-1.1109095811843872	2.585737943649292	10.113107681274414
30	1607159412968	-0.8427590131759644	2.2026655673980717	10.036493301391602
31	1607159412988	-0.26815059781074524	2.1260511875152592	9.998186111450195
32	1607159413008	0.15322890877723694	2.0494365692138667	9.53849983215332
33	1607159413028	0.26815059781074524	1.9345149993896484	9.385271072387695
34	1607159413048	0.3447650372982025	1.8962076902389529	9.346963882446287
35	1607159413068	0.1915361285209656	2.011129379272461	9.576807022094727
36	1607159413088	0.1149216815829277	2.0494365692138667	9.346963882446287
37	1607159413108	0.07661445438861847	1.972822189331055	9.117119789123537
