	0	1	2	3
0	1606097353316	0.0	0.0	0.0
1	1606097353336	-0.0008028514566831291	-0.0025830871891230345	0.0
2	1606097353356	-0.0018325956771150234	-0.0049567348323762426	-0.0006981316837482153
3	1606097353376	-0.004049163777381182	-0.007086036726832391	-0.0015009831404313445
4	1606097353397	-0.07016223669052124	-0.14648547768592834	-0.028989918529987332
5	1606097353417	-0.07682939618825912	-0.15271630883216858	-0.038903389126062386
6	1606097353436	-0.08346164226531982	-0.1550026834011078	-0.031607910990715034
7	1606097353456	-0.08513715863227844	-0.1411622315645218	-0.020315632224082947
8	1606097353476	-0.09002408385276794	-0.13915510475635529	-0.012234757654368877
9	1606097353497	-0.07934267073869705	-0.13440780341625214	-0.006981316953897476
10	1606097353516	-0.05890486389398575	-0.13294172286987305	0.004049163777381182
11	1606097353536	-0.04663519561290741	-0.1057145893573761	0.030752701684832576
12	1606097353556	-0.03445279970765114	-0.063355453312397	0.07499679923057556
13	1606097353576	-0.02480112947523594	-0.019216075539588928	0.11667525768280028
14	1606097353596	-0.020751964300870892	-0.007819075137376784	0.12329005450010301
15	1606097353616	-0.020699605345726013	-0.014590952545404434	0.113481305539608
16	1606097353636	-0.01884955540299416	-0.022270401939749718	0.10012953728437424
17	1606097353657	-0.011972958222031592	-0.02445206232368946	0.10300933569669724
18	1606097353676	0.00038397242315113534	-0.014957471750676632	0.11011282354593276
19	1606097353696	0.011239920742809772	-0.017941985279321667	0.10733775049448012
20	1606097353716	0.018046705052256584	-0.025394540280103683	0.09087929129600524
21	1606097353736	0.034400440752506256	-0.029269171878695488	0.07723081856966019
22	1606097353756	0.05593780055642128	-0.04712389037013054	0.05274384841322899
23	1606097353776	0.07040657848119736	-0.06154030933976173	0.027855454012751583
24	1606097353796	0.05078908056020737	-0.07391469180583954	0.014346606098115444
25	1606097353816	0.027279496192932132	-0.07911577820777893	0.010245082899928093
26	1606097353836	0.014346606098115444	-0.0815068781375885	0.009407324716448784
27	1606097353856	0.004660028964281082	-0.07843509316444397	0.00783652812242508
28	1606097353877	-0.023247785866260532	-0.07566002011299132	0.00457276264205575
29	1606097353896	-0.07579965144395827	-0.07300712168216705	0.00722566293552518
30	1606097353916	-0.13517574965953827	-0.06691592186689377	0.011100294068455696
31	1606097353936	-0.18509216606616974	-0.06195918843150139	0.012688543647527695
32	1606097353956	-0.23033110797405246	-0.060004420578479774	0.013526301831007006
33	1606097353977	-0.2648362517356873	-0.058346357196569436	0.013718287460505962
34	1606097353997	-0.2472607940435409	-0.05366887524724007	0.01171115878969431
35	1606097354017	-0.2270498871803284	-0.05302310362458229	0.0091455252841115
36	1606097354036	-0.27125906944274897	-0.06551966071128845	0.0029321531765162945
37	1606097354056	-0.2993937730789185	-0.07942993193864822	-0.010873401537537577
38	1606097354077	-0.3088883757591248	-0.09548696130514144	-0.03384193405508995
39	1606097354097	-0.3179815411567688	-0.1131846010684967	-0.06325073540210724
40	1606097354116	-0.32391566038131714	-0.1279151737689972	-0.09283406287431717
41	1606097354136	-0.331211119890213	-0.14357078075408936	-0.1238660141825676
42	1606097354156	-0.34320154786109924	-0.15751595795154572	-0.1529606580734253
43	1606097354176	-0.3605152070522308	-0.17062339186668396	-0.18102554976940155
44	1606097354197	-0.3649134337902069	-0.17903587222099304	-0.2040115296840668
45	1606097354217	-0.3678106963634491	-0.18741345405578613	-0.22514747083187106
46	1606097354237	-0.3655242919921875	-0.18764035403728485	-0.2361605018377304
47	1606097354257	-0.3642676770687103	-0.18427185714244845	-0.24123941361904144
48	1606097354277	-0.36477380990982056	-0.1779712289571762	-0.24207717180252075
49	1606097354297	-0.3742160499095917	-0.17671458423137665	-0.2528458535671234
50	1606097354317	-0.3917565941810608	-0.18306758999824524	-0.2726378738880157
51	1606097354337	-0.3881961405277252	-0.17383478581905365	-0.27235862612724304
52	1606097354357	-0.396818071603775	-0.16414821147918698	-0.2626022398471832
53	1606097354377	-0.4122467637062073	-0.15660838782787326	-0.24373522400856015
54	1606097354398	-0.429159015417099	-0.1477421224117279	-0.2303485572338104
55	1606097354417	-0.4282863438129425	-0.1382998824119568	-0.22331488132476807
56	1606097354437	-0.39130282402038574	-0.12349949777126312	-0.2212204784154892
57	1606097354458	-0.35667547583580017	-0.1146681308746338	-0.2334726899862289
58	1606097354476	-0.30318114161491394	-0.10206685215234756	-0.2347642332315445
59	1606097354497	-0.2794446647167206	-0.1022413894534111	-0.24476496875286105
60	1606097354517	-0.2691821157932281	-0.1062730997800827	-0.2517811954021454
61	1606097354536	-0.24490459263324735	-0.10751228034496307	-0.2598969638347626
62	1606097354557	-0.22457151114940646	-0.11561060696840285	-0.2786592543125153
63	1606097354577	-0.1971000283956528	-0.1197819486260414	-0.2876477241516113
64	1606097354597	-0.17812830209732056	-0.12604767084121704	-0.29880037903785706
65	1606097354618	-0.030944688245654106	-0.02352703735232353	-0.05567600205540657
66	1606097354637	-0.03082251362502575	-0.023945916444063187	-0.05611233413219452
67	1606097354657	-0.032323498278856284	-0.023631757125258446	-0.05487314984202385
68	1606097354677	-0.03068288788199425	-0.021624628454446796	-0.05124286562204361
69	1606097354697	-0.03033382259309292	-0.02148500271141529	-0.050474923104047775
70	1606097354717	-0.02904227934777737	-0.02092649787664413	-0.04911356419324875
71	1606097354737	-0.0285186804831028	-0.02125811018049717	-0.049410272389650345
72	1606097354756	-0.027803095057606697	-0.021554816514253616	-0.04965461790561676
73	1606097354776	-0.02617993950843811	-0.02085668407380581	-0.047891832888126366
74	1606097354797	-0.02567379362881184	-0.02108357660472393	-0.048555061221122735
75	1606097354817	-0.024172810837626457	-0.020612338557839397	-0.04771730303764343
76	1606097354837	-0.02314306609332561	-0.02045525796711445	-0.047979101538658135
77	1606097354857	-0.022252947092056274	-0.02028072625398636	-0.04808381944894791
78	1606097354877	-0.021519908681511882	-0.019984019920229912	-0.047158796340227134
79	1606097354897	-0.02148500271141529	-0.01989675313234329	-0.04728097096085549
80	1606097354917	-0.02108357660472393	-0.019338248297572136	-0.0460941456258297
81	1606097354937	-0.02122320421040058	-0.019146261736750603	-0.04660028964281082
82	1606097354956	-0.020647244527935985	-0.018762288615107536	-0.04590215906500816
83	1606097354976	-0.019600046798586845	-0.01855284906923771	-0.04450589418411255
84	1606097354997	-0.018727382645010948	-0.018448129296302795	-0.04363323003053665
85	1606097355017	-0.018046705052256584	-0.018099064007401463	-0.04277801886200905
86	1606097355037	-0.017575465142726898	-0.018046705052256584	-0.04181808978319168
87	1606097355056	-0.01696459949016571	-0.01754055917263031	-0.04022983834147453
88	1606097355077	-0.01673770695924759	-0.017470745369791985	-0.03953170776367188
89	1606097355097	-0.016196655109524727	-0.016929693520069122	-0.03848451003432274
90	1606097355117	-0.01572541706264019	-0.01673770695924759	-0.03764675185084343
91	1606097355137	-0.015428710728883743	-0.016441000625491142	-0.03691371530294418
92	1606097355157	-0.015201817266643047	-0.016598081216216087	-0.03672172874212265
93	1606097355177	-0.014643312431871891	-0.016947146505117416	-0.03567453101277352
94	1606097355197	-0.013997540809214115	-0.017104227095842358	-0.034627333283424384
95	1606097355217	-0.014119713567197325	-0.018099064007401463	-0.03488913178443909
96	1606097355237	-0.013770647346973421	-0.01776745170354843	-0.03378957509994507
97	1606097355257	-0.013561207801103592	-0.01719149388372898	-0.03309144079685211
98	1606097355276	-0.01326450239866972	-0.016982054337859154	-0.032445669174194336
99	1606097355297	-0.012793263420462608	-0.017156586050987244	-0.03183480724692345
100	1606097355317	-0.012217304669320585	-0.01727875880897045	-0.031241392716765407
101	1606097355336	-0.011344640515744686	-0.01719149388372898	-0.0302465558052063
102	1606097355357	-0.010890854522585869	-0.018325956538319588	-0.030281461775302887
103	1606097355377	-0.009669124148786068	-0.01855284906923771	-0.029129544273018837
104	1606097355397	-0.008325220085680485	-0.01797689124941826	-0.02789036184549332
105	1606097355416	-0.007155850064009428	-0.0184306763112545	-0.02748893573880196
106	1606097355436	-0.006440265104174614	-0.01907644793391228	-0.026808258146047592
107	1606097355457	-0.005899212788790464	-0.019722219556570053	-0.026162484660744667
108	1606097355477	-0.005427973810583353	-0.02076941728591919	-0.0254992600530386
109	1606097355497	-0.0048520155251026145	-0.02106612361967564	-0.024853488430380818
110	1606097355517	-0.0042236968874931335	-0.02047271281480789	-0.02352703735232353
111	1606097355536	-0.0039618974551558495	-0.020751964300870892	-0.02241002768278122
112	1606097355557	-0.003926991019397974	-0.021467549726367	-0.02181661501526833
