0	1	2	3
1606190944645	-1.6664152145385742	2.236252784729004	5.9952640533447275
1606190944665	-0.22266755998134613	2.4277946949005127	3.7590115070343018
1606190944684	-2.262589693069458	0.3064671754837036	5.70076847076416
1606190944705	-0.84517902135849	1.678386688232422	8.075888633728027
1606190944724	-4.0798444747924805	-0.35674694180488586	8.865999221801758
1606190944745	-3.967313289642334	-1.4676904678344729	7.57309103012085
1606190944767	-1.3767080307006836	-1.6616266965866089	5.298530101776123
1606190944784	-0.5435003638267517	-2.796513080596924	2.018373727798462
1606190944804	-2.899466753005981	-5.016005516052246	-0.3902668058872223
1606190944824	-4.467716693878174	-7.757450580596924	-2.8036959171295166
1606190944845	-7.304932594299316	-9.25147819519043	-4.501236438751222
1606190944865	-8.9234619140625	-12.038414001464846	-3.5914123058319087
1606190944885	-10.929864883422852	-13.089500427246096	-1.783734679222107
1606190944904	-15.33293628692627	-15.007314682006836	-0.7254652380943298
1606190944924	-19.000965118408203	-15.536449432373047	-2.0973846912384038
1606190944945	-20.24598693847656	-13.922707557678224	-1.4030450582504272
1606190944964	-18.917165756225586	-11.12140655517578	-2.0902018547058105
1606190944984	-17.880443572998047	-8.865999221801758	-2.844398498535156
1606190945004	-17.320184707641598	-7.218738555908202	-3.0479118824005127
1606190945024	-16.158960342407227	-5.600208759307861	-3.6153550148010254
1606190945044	-14.775070190429688	-4.932206153869629	-4.383917331695557
1606190945066	-12.909930229187012	-5.15247917175293	-4.283357620239259
1606190945084	-10.49410629272461	-6.014418125152588	-3.344801902770996
1606190945104	-8.152505874633789	-6.165257453918457	-2.226675510406494
1606190945124	-6.565101623535156	-6.6225643157958975	-1.9848538637161253
1606190945150	-6.0024471282958975	-7.154093265533447	-2.0207679271698002
1606190945166	-4.908263206481934	-7.067899227142334	-1.69035804271698
1606190945184	-3.8691480159759517	-6.550735950469972	-0.7398309111595154
1606190945204	-3.308887720108032	-5.818087577819824	0.21069619059562686
1606190945224	-2.9281980991363525	-5.150084972381592	0.5099805593490601
1606190945245	-3.6536633968353267	-5.006428718566895	0.6584255695343018
1606190945266	-4.419831275939941	-5.042342662811278	1.0295381546020508
1606190945284	-5.96174430847168	-5.770202159881593	1.3719195127487185
1606190945304	-6.550735950469972	-5.980898380279541	1.7190892696380615
1606190945324	-7.063110828399657	-6.366376876831055	1.848380208015442
1606190945344	-6.426233768463135	-5.925830364227295	2.0255565643310547
1606190945366	-6.31130838394165	-5.293741703033447	1.848380208015442
1606190945384	-7.101418972015381	-5.525986194610597	1.271359920501709
1606190945406	-7.850827217102051	-6.0623040199279785	0.3328042030334473
1606190945424	-8.68403434753418	-7.154093265533447	-0.3639297783374785
1606190945444	-9.22274684906006	-7.858009815216064	-0.7446194887161255
1606190945466	-8.760651588439941	-7.412674903869629	-0.9433442950248718
1606190945486	-10.077502250671387	-7.94180965423584	-1.7717633247375488
1606190945506	-12.397555351257324	-10.1636962890625	-3.076643228530884
1606190945533	-12.392765998840332	-11.178869247436523	-4.424619674682617
1606190945546	-10.33129596710205	-10.168484687805176	-3.936187744140625
1606190945564	-8.439818382263184	-8.356019020080566	-2.6744048595428467
1606190945586	-7.747873306274414	-6.7398834228515625	-1.3479766845703125
1606190945605	-7.87237548828125	-5.834847927093506	-0.13407939672470093
1606190945624	-8.298556327819824	-5.667248249053955	-0.09816526621580124
1606190945644	-8.717555046081543	-6.2753944396972665	-0.8260248303413391
1606190945666	-8.205180168151855	-8.083071708679201	-2.324840784072876
1606190945686	-6.447782039642334	-7.637736797332764	-3.1460771560668945
1606190945705	-5.705556869506836	-7.247469902038574	-3.560286521911621
1606190945725	-5.059102535247803	-6.232297420501709	-3.057488918304444
1606190945744	-5.039948463439941	-5.181210517883301	-2.1644244194030757
1606190945764	-5.205153465270996	-4.611373424530028	-1.52036452293396
1606190945789	-5.717528343200684	-4.3791284561157235	-1.5467015504837036
1606190945806	-6.423839092254639	-4.654470443725586	-1.6520496606826782
1606190945823	-6.866780281066895	-5.956955909729004	-1.7382434606552124
1606190945845	-6.409473896026611	-6.186806201934815	-1.204320192337036
1606190945864	-6.023995399475098	-6.093429565429688	-0.5626545548439026
1606190945887	-6.227508544921875	-6.488484859466553	-0.12210801243782045
1606190945904	-6.122160911560059	-6.299336910247803	0.4309694766998291
1606190945925	-6.170046329498291	-5.545140266418457	1.2665714025497437
1606190945944	-6.780586242675781	-5.300924301147461	1.5490957498550415
1606190945964	-7.08226490020752	-5.545140266418457	0.9648927450180054
1606190945985	-6.646506786346436	-5.614574432373047	0.0885881707072258
1606190946004	-6.344828128814697	-5.52119779586792	-0.6727912425994873
1606190946027	-6.222720146179199	-5.705556869506836	-1.508393168449402
1606190946045	-6.038361072540282	-5.5595059394836435	-2.1285102367401123
1606190946067	-6.114977836608888	-5.339232921600342	-2.3631491661071777
